epoch,loss,single_accuracy,val_loss,val_single_accuracy
0,0.6162956825982162,0.7475862512873327,0.8541544232368469,0.6435
1,0.47483842972623824,0.8359777291452111,0.9232714519500732,0.631
2,0.41471841271456433,0.8801815139031925,0.8620543308258056,0.6515
3,0.37541604032845505,0.9110292224510813,0.8751980445384979,0.65
4,0.3475947653842144,0.9339598352214212,0.8966563577651978,0.6455
5,0.3269157461845052,0.9510009011328527,0.9013738713264465,0.6405
6,0.3123681848498501,0.9614282955715757,0.9254593603610992,0.636
7,0.30219089920439757,0.9679936920700309,0.9054564187526702,0.643
8,0.29606951875986204,0.9717913233779608,0.8905183351039887,0.652
