epoch,loss,single_accuracy,val_loss,val_single_accuracy
0,498.1756164990787,0.7426782955715757,491.1314052734375,0.6605
1,482.9371169431079,0.8270629505664263,475.0710283203125,0.668
2,466.0906196696383,0.8692713697219362,457.64061059570315,0.6565
3,448.070815144312,0.8987834706488157,439.2012836914063,0.6485
4,429.2647533789968,0.920909500514933,420.15788330078124,0.643
5,410.0253835220415,0.9376287332646756,400.83315283203126,0.6515
6,390.7266086378009,0.9472032698249228,381.6669697265625,0.649
7,371.7441248476321,0.9554100154479918,363.00415234375,0.6475
8,353.534163752987,0.9607524459320288,345.37382275390627,0.6405
9,336.50323580615185,0.9635363027806385,329.018029296875,0.6495
