# theta,phi,psi
-1.374446785945532490e+00,2.650718801466387831e+00,2.552544031041713346e+00
-2.945243112740430824e+00,2.748893571891068976e+00,8.835729338221334217e-01
-1.472621556370213636e+00,2.650718801466387831e+00,2.454369260617031756e+00
-2.748893571891068532e+00,2.847068342315750122e+00,1.079922474671496602e+00
-2.552544031041706241e+00,2.847068342315750122e+00,1.374446785945539595e+00
-2.356194490192343949e+00,2.748893571891068976e+00,1.570796326794901887e+00
-1.570796326794894782e+00,2.552544031041707129e+00,2.356194490192351054e+00
-2.748893571891068532e+00,2.650718801466387831e+00,1.178097245096177303e+00
-2.552544031041706241e+00,2.847068342315750122e+00,-1.865320638068938219e+00
-2.454369260617025095e+00,2.847068342315750122e+00,-1.767145867644257073e+00
-2.061670178918300511e+00,2.748893571891068976e+00,1.865320638068945769e+00
-1.374446785945532490e+00,2.356194490192344837e+00,2.552544031041713346e+00
-2.650718801466387387e+00,2.748893571891068976e+00,1.178097245096177303e+00
-1.767145867644257073e+00,2.748893571891068976e+00,2.061670178918307172e+00
-2.258019719767662803e+00,2.748893571891068976e+00,1.668971097219582589e+00
-2.356194490192343949e+00,2.847068342315750122e+00,-1.668971097219575928e+00
-2.356194490192343949e+00,2.945243112740430824e+00,-1.668971097219575928e+00
-2.159844949342981657e+00,2.847068342315750122e+00,-1.374446785945532490e+00
-2.258019719767662803e+00,2.847068342315750122e+00,1.570796326794901887e+00
-1.472621556370213636e+00,2.650718801466387831e+00,2.356194490192351054e+00
