epoch,loss,single_accuracy,val_loss,val_single_accuracy
0,3.2456485432036506,0.6317906797116375,3.270557664213203,0.6188811184643032
1,2.505124604358241,0.6730335993820803,3.025709428431549,0.6270396274564427
2,1.9177379173856808,0.697283728115345,2.500257497067218,0.6526806521248985
3,1.4966017947015262,0.7156604016477858,2.222742439427854,0.6456876451318915
4,1.2463988217953919,0.7326371009268795,2.0703237390184737,0.6550116544559007
5,1.0662661156128903,0.7437725283213182,1.9700463368342473,0.6608391612559765
6,0.9586392599632763,0.751399974253347,1.9458044974398223,0.6515151519319672
7,0.8565400751685507,0.76548017507724,1.856236335767177,0.6526806530974684
8,0.7849880793006241,0.772576596292482,1.891152311038304,0.6421911416353879
9,0.7263279534515711,0.7771949021627188,1.8721844287185403,0.6375291378070147
10,0.6817861820593185,0.7840499485066942,1.7623878474974688,0.6433566428008891
11,0.6590018809363476,0.7862384140061792,1.741711306335765,0.6200466194908658
12,0.6463069537948015,0.7865602471678682,1.7269602827814632,0.6153846148288611
13,0.6236410828961403,0.7890544541709578,1.733681569149444,0.6142191136633599
14,0.6106832897257977,0.7902291452111225,1.7371423690469114,0.6165501159943623
15,0.5999675050423884,0.7903417868177137,1.8008975518611205,0.6118881113323577
16,0.5925076664353497,0.7926911688980433,1.8004397916627097,0.6200466194908658
17,0.5811930693202603,0.7938175849639547,1.8268287148508993,0.6247086241528704
18,0.5707806524668123,0.7945417095777549,1.796245492491133,0.6235431229873692
19,0.5721529080435618,0.794042868177137,1.7811266700704615,0.6270396264838728
20,0.5705379850464182,0.7961186920700309,1.7916090613478548,0.6188811183253646
21,0.5602044425866385,0.7973255664263645,1.7521000086983323,0.6247086241528704
22,0.5574749073917171,0.7974542996910402,1.7630792924991021,0.6223776218218681
23,0.5540227053493231,0.7983715242018538,1.761040586135882,0.6247086241528704
24,0.5575864754241232,0.798484165808445,1.7778796707833564,0.6293706288148752
25,0.5511225909608523,0.7988864572605562,1.8041370342939327,0.6258741253183716
26,0.5479035518840952,0.8002220648815654,1.8227662518446819,0.6247086241528704
27,0.5537080417485979,0.8016703141091658,1.807426531275947,0.628205127649374
28,0.5419882457361899,0.8006565396498455,1.7971318374563765,0.6247086241528704
29,0.5472349063498108,0.8021852471678682,1.798067135410709,0.6317016311458774
30,0.5479570603732837,0.8038426879505665,1.85509408312244,0.6247086241528704
31,0.5337570986406442,0.8031990216271885,1.8827749960350268,0.6223776218218681
32,0.5357959796545066,0.8038105046343975,1.8880715010327338,0.621212120656367
33,0.5379611871883381,0.806336894953656,1.8753839861818682,0.6317016311458774
34,0.5414782034503689,0.8059989701338826,1.8707524568606646,0.6293706288148752
35,0.5434013030095646,0.8059185118434603,1.8880159734012363,0.6177156171598635
36,0.5358999256585579,0.80841271884655,1.8569291770319283,0.6340326334768798
37,0.5292034620298294,0.8090885684860968,1.9000418244541941,0.6328671323113786
38,0.5312466960089582,0.8087506436663234,1.903012214840709,0.6305361299803762
