epoch,loss,single_accuracy
0,4.586534231901169,0.59375
1,4.493558540940285,0.59765625
2,4.419605180621147,0.6015625
3,4.247434511780739,0.6044921875
4,4.23803648352623,0.611328125
5,4.251687213778496,0.607421875
6,4.097458839416504,0.6240234375
7,4.128579422831535,0.6201171875
8,4.036601155996323,0.6279296875
9,4.042485237121582,0.6279296875
10,4.0297017097473145,0.6337890625
11,3.982533484697342,0.6357421875
12,3.953260153532028,0.6376953125
13,3.986282855272293,0.6376953125
14,3.9530307203531265,0.6337890625
15,3.910956636071205,0.634765625
16,3.903829574584961,0.6435546875
17,3.9002951085567474,0.6337890625
18,3.8775191456079483,0.6484375
19,3.8535049110651016,0.642578125
20,3.792267233133316,0.6484375
21,3.854326367378235,0.65234375
22,3.770544081926346,0.6552734375
23,3.723659798502922,0.654296875
24,3.786156177520752,0.654296875
25,3.765261724591255,0.6552734375
26,3.7014332562685013,0.6630859375
27,3.740290030837059,0.646484375
28,3.701701909303665,0.6591796875
29,3.686329774558544,0.65625
30,3.6862918585538864,0.6552734375
31,3.663725331425667,0.65625
32,3.6259173154830933,0.666015625
33,3.6686700582504272,0.6640625
34,3.63045421987772,0.662109375
35,3.5868040174245834,0.666015625
36,3.558942958712578,0.671875
37,3.54208080470562,0.67578125
38,3.5408289283514023,0.671875
39,3.5433947890996933,0.669921875
40,3.5240842700004578,0.6748046875
41,3.4999845772981644,0.669921875
42,3.4621562361717224,0.6806640625
43,3.494583711028099,0.669921875
44,3.4227459132671356,0.6806640625
45,3.456656262278557,0.67578125
46,3.4716700613498688,0.6806640625
47,3.4197790920734406,0.6806640625
48,3.3656285256147385,0.6884765625
49,3.3972894847393036,0.6845703125
50,3.3672886937856674,0.689453125
51,3.3374599665403366,0.69140625
52,3.3115976974368095,0.693359375
53,3.3008223474025726,0.7021484375
54,3.3023945689201355,0.6865234375
55,3.3010561764240265,0.693359375
56,3.273173972964287,0.6962890625
57,3.204283967614174,0.693359375
58,3.230207622051239,0.6884765625
59,3.2006743103265762,0.6953125
60,3.184285655617714,0.703125
61,3.223940744996071,0.7060546875
62,3.1206151843070984,0.705078125
63,3.162828750908375,0.703125
64,3.1476721987128258,0.6953125
65,3.0678921788930893,0.7041015625
66,3.1001643016934395,0.7080078125
67,3.069309286773205,0.7099609375
68,3.0430556386709213,0.7109375
69,3.0749947875738144,0.7001953125
70,3.0715248957276344,0.6943359375
71,3.097674459218979,0.6923828125
72,3.122829020023346,0.6943359375
73,3.062637135386467,0.701171875
74,3.0245141685009003,0.703125
75,2.9208641797304153,0.703125
76,2.932183653116226,0.697265625
77,2.974342979490757,0.7060546875
78,2.8282970935106277,0.7158203125
79,2.840339206159115,0.712890625
80,2.8332040160894394,0.7177734375
81,2.8358271569013596,0.7197265625
82,2.8473063856363297,0.7021484375
83,2.8539075702428818,0.6982421875
84,2.8798894733190536,0.6982421875
85,2.852493315935135,0.69921875
86,2.7731721699237823,0.7041015625
87,2.8090885281562805,0.6953125
88,2.7601491063833237,0.703125
89,2.7602215632796288,0.708984375
90,2.7688001170754433,0.71484375
91,2.776994191110134,0.7080078125
92,2.7279786616563797,0.7197265625
93,2.731486864387989,0.7099609375
94,2.688625991344452,0.7119140625
95,2.749344512820244,0.7255859375
96,2.7263051122426987,0.7265625
97,2.6271365210413933,0.7177734375
98,2.699017219245434,0.71484375
99,2.65680805593729,0.7197265625
