epoch,loss,single_accuracy
0,4.776559114456177,0.55859375
1,4.53004264831543,0.5751953125
2,4.298395350575447,0.599609375
3,4.13359659910202,0.6337890625
4,3.9981206208467484,0.6611328125
5,3.863606780767441,0.6787109375
6,3.7424774914979935,0.69140625
7,3.6473335921764374,0.7109375
8,3.5508917570114136,0.73046875
9,3.493560418486595,0.751953125
10,3.429216206073761,0.7548828125
11,3.3384558707475662,0.7568359375
12,3.2768811881542206,0.7666015625
13,3.1812579929828644,0.7724609375
14,3.1743200421333313,0.775390625
15,3.1064310371875763,0.783203125
16,3.0707511752843857,0.791015625
17,3.0210603326559067,0.7919921875
18,2.993359789252281,0.798828125
19,2.9716405645012856,0.8017578125
20,2.9239818677306175,0.80859375
21,2.91451495885849,0.80859375
22,2.895443469285965,0.814453125
23,2.88963682949543,0.814453125
24,2.901915304362774,0.8154296875
25,2.897737145423889,0.8173828125
26,2.885472521185875,0.81640625
27,2.8610824793577194,0.8173828125
28,2.856814794242382,0.818359375
29,2.849703684449196,0.818359375
30,2.8234793692827225,0.8212890625
31,2.8237751498818398,0.8212890625
32,2.8068192154169083,0.8212890625
33,2.8046687245368958,0.8232421875
34,2.8019095212221146,0.822265625
35,2.7608995512127876,0.82421875
36,2.757499650120735,0.8251953125
37,2.756143197417259,0.8251953125
38,2.743229128420353,0.826171875
39,2.738318309187889,0.8271484375
40,2.717427372932434,0.826171875
41,2.70297659188509,0.8271484375
42,2.6809365451335907,0.828125
43,2.668064035475254,0.830078125
44,2.6532590240240097,0.83203125
45,2.6600933521986008,0.83203125
46,2.633930191397667,0.83203125
47,2.631629843264818,0.8330078125
48,2.6234231293201447,0.8330078125
49,2.614722490310669,0.8349609375
50,2.6126865297555923,0.8369140625
51,2.6003462448716164,0.8349609375
52,2.5977310687303543,0.8369140625
53,2.597617022693157,0.8369140625
54,2.5815074741840363,0.837890625
55,2.5820260867476463,0.8369140625
56,2.582544445991516,0.8369140625
57,2.566595733165741,0.837890625
58,2.5802272260189056,0.8388671875
59,2.5816125124692917,0.8369140625
60,2.5801485925912857,0.8388671875
61,2.557468146085739,0.8388671875
62,2.553575724363327,0.8388671875
63,2.55276457965374,0.8388671875
64,2.552272506058216,0.837890625
65,2.551633805036545,0.8388671875
66,2.5500869750976562,0.83984375
67,2.536070317029953,0.83984375
68,2.5352301821112633,0.83984375
69,2.5338439866900444,0.8408203125
70,2.524160251021385,0.8408203125
71,2.521306063979864,0.8408203125
72,2.519456908106804,0.8408203125
73,2.517840713262558,0.841796875
74,2.532840318977833,0.8408203125
75,2.5196692943573,0.841796875
76,2.5338506177067757,0.841796875
77,2.5178464204072952,0.8408203125
78,2.531717464327812,0.841796875
79,2.532172117382288,0.841796875
80,2.5316036120057106,0.841796875
81,2.5184193402528763,0.841796875
82,2.506274752318859,0.8427734375
83,2.4897080287337303,0.841796875
84,2.4437636211514473,0.8447265625
85,2.44261634349823,0.845703125
86,2.426527887582779,0.8466796875
87,2.427557423710823,0.845703125
88,2.411104366183281,0.84765625
89,2.396173108369112,0.84765625
90,2.3942577093839645,0.8486328125
91,2.3805113658308983,0.8486328125
