epoch,acc,loss,val_acc,val_loss
0,0.24192181755514705,0.0016680604529420973,0.22906250011920928,0.0004653218844905496
1,0.22337598613664217,0.0015281151467705985,0.21356250023841858,0.0004870514669455588
2,0.20579115923713234,0.0014691295050878953,0.19814062523841858,0.0005045814947225154
3,0.1904229856004902,0.0014252468465380005,0.1839687501192093,0.0005100171747617424
4,0.17879207835477942,0.0013897713904917313,0.17448437511920928,0.0005511491531506181
5,0.16814802581188726,0.001361423240536276,0.16609375023841857,0.0005629159905947745
6,0.15913899739583334,0.0013361381259564236,0.15931250011920928,0.0005753648756071925
7,0.15196389590992648,0.0013094276520218152,0.1517500002384186,0.0005937602599151433
8,0.14552384918811276,0.0012965022249024033,0.147796875,0.0005804029311984777
9,0.14202186734068628,0.0012776348579506044,0.1456562498807907,0.00059855732973665
10,0.1375287224264706,0.001267373822252814,0.1432968751192093,0.0006306366012431682
11,0.13423043045343136,0.0012461688392339091,0.14096875023841857,0.000627254064194858
12,0.13182756012561275,0.0012357069140610595,0.139234375,0.0006315630539320409
13,0.129141295189951,0.0012235104400258256,0.139265625,0.0006480319229885936
14,0.12746223000919119,0.00120826680664037,0.13924999976158142,0.0006779823023825884
15,0.12548086128982844,0.0012005444991005146,0.13735937476158142,0.0006616406245157123
16,0.12422904220281862,0.0011941360838724957,0.136703125,0.0006781484861858189
17,0.12220985562193627,0.0011791449933262615,0.13459375,0.0006596422507427632
18,0.12124813304227941,0.0011746839931755162,0.13637499988079071,0.0006816221890039741
19,0.12011431525735294,0.0011633160808260606,0.1349843748807907,0.0006719906376674771
20,0.11906498927696078,0.0011503513404236669,0.1357812501192093,0.0006856424766592681
21,0.11863295611213236,0.0011517813627827255,0.1347343748807907,0.0006606571935117245
22,0.11773442287071079,0.0011430713170043686,0.1353437498807907,0.0006988118467852473
23,0.1168301451439951,0.0011322437803827081,0.13590625023841857,0.0006983062834478915
24,0.11595818014705882,0.0011216054503878981,0.13601562488079072,0.0006931223152205348
25,0.11585549747242647,0.0011235718622771731,0.13635937523841857,0.0007023190371692181
26,0.1149569642310049,0.0011133402947783835,0.1350781248807907,0.0006866344711743296
27,0.11459793390012254,0.0011060475096147616,0.13706250011920929,0.0006982896118424833
28,0.11402899050245098,0.0011040497855990942,0.13684374976158142,0.0007033717036247254
29,0.11374080882352941,0.001096428286537583,0.13610937476158141,0.0006883034030906856
30,0.11339326746323529,0.0010908468017541786,0.13737499976158143,0.0007029283167794347
31,0.11305673636642156,0.001087193313287571,0.1384531251192093,0.0007168637719005346
32,0.11253470626531863,0.0010804470988588554,0.1393437501192093,0.0007299305442720652
33,0.11236596200980392,0.0010753015934503363,0.1375937498807907,0.0007060845587402582
34,0.11148107192095588,0.0010724326505499216,0.13996874988079072,0.0007379237916320563
35,0.11129461550245098,0.0010667624570059534,0.1393906248807907,0.0007140541449189187
36,0.11081925934436275,0.0010621074389657189,0.13799999976158142,0.0006914447220042348
37,0.11107321346507353,0.001060909549443179,0.1396874998807907,0.00070218241866678
38,0.11039201325061275,0.0010535213582140083,0.13910937476158142,0.000697006480768323
39,0.11037071078431372,0.0010495883449181621,0.14040625,0.0007057220246642828
40,0.11014452167585784,0.0010468450229952806,0.1411562501192093,0.0007212753780186177
41,0.10972110523897059,0.0010393157281785035,0.13918749976158143,0.0007030495945364236
42,0.10933071959252451,0.001035236872392524,0.14089062476158143,0.0007161318641155959
43,0.10923210592830883,0.0010373935138226907,0.14389062523841858,0.0007376536158844829
44,0.10872300091911764,0.0010308907710257734,0.14209375,0.0007216071486473083
45,0.10889868642769608,0.0010275074118730047,0.140875,0.0007124987356364727
46,0.10899179496017157,0.001024700752139895,0.1427031248807907,0.0007233622577041388
47,0.10801595052083333,0.001018836235515682,0.141484375,0.0007187651284039021
48,0.10760881012561274,0.0010189078412105458,0.14153124976158143,0.0007242463938891887
49,0.10764638863357844,0.0010153923251017855,0.1428437501192093,0.0007384526804089547
